Product Type,Category,No of Brands,No of SKUs,Gross Sales,Net Sales,Average SP,OSA %,% of Total,Opportunity Score,White Space Remark,Price Band to Launch In,Competing Brand 1,Competing Brand 2,Competing Brand 3
Cloth Hanger,Bathroom Essentials,11,23,16485461,7718700,380,65.2,1.37,42,Prime white space,₹879–1062,Wewel,Homestrap,HangitNow
Toilet Brush,Cleaning Tools,3,8,9422505,9069071,275,81.4,0.78,42,Rented crown,₹239–379,Gala,Scotch brite,KLAP
Gas Lighter,Kitchen & Dining Needs,6,9,10267964,6447056,292,65.1,0.85,42,Organic fortress,₹89–191,Fackelmann,Wonderchef,Warmfinity
Lunch Box / Tiffin,Kitchen & Dining Needs,20,61,28599670,17364214,822,53.3,2.38,41,Open & contested,₹299–635,Milton,Borosil,Cello
Shelf / Rack,Kitchen & Dining Needs,9,12,8399252,3819586,645,47.9,0.7,40,Prime white space,₹248–688,Bulfyss,Homestrap,New Dawn
Dustbin,Cleaning Tools,8,11,10875605,7838225,526,65.6,0.91,40,Rented crown,₹643–775,Nayasa,Cello,Aravi
Chopper / Peeler / Grater,Kitchen & Dining Needs,14,23,15138734,8462598,305,63.8,1.26,40,Prime white space,₹379–709,Fackelmann,averx,Wonderchef
Gas Stove,Kitchen & Dining Needs,2,8,6595259,4829977,3619,64.3,0.55,38,Rented crown,₹5049–5911,Prestige,Thermador,
Mug / Cup,Kitchen & Dining Needs,42,134,38156805,24517397,584,70.6,3.18,38,Crowded shelf,₹59–477,Femora,Chumbak,Mad Over Print
Soap Case / Dish,Bathroom Essentials,1,1,2029821,2013582,124,82.0,0.17,37,Rented crown,₹124–124,Nayasa,,
Rolling Pin / Roti Maker,Kitchen & Dining Needs,2,5,5501990,2018298,544,53.6,0.46,37,Organic fortress,₹100–270,Swastika,Vesta Homes,
Baking Mould / Tray,Kitchen & Dining Needs,9,29,15449753,8553945,210,62.1,1.29,36,Open & contested,₹42–133,Hazel,Aravi,Cutting Edge
Bowl,Kitchen & Dining Needs,49,145,30204766,17449655,598,59.0,2.51,35,Crowded shelf,₹861–1670,Nestasia,Hazel,Irida Naturals
Wardrobe/Cloth Organizer,Home Decor,7,27,13920404,8009281,626,63.2,1.16,34,Rented crown,₹923–1099,Homestrap,Zulaxy,Solstice
Cleaning Brush,Kitchen & Dining Needs,15,21,12227757,7174769,277,76.5,1.02,34,Prime white space,₹70–248,Picfest,Scotch brite,Gala
Basket (Multipurpose),Home Decor,6,7,3829487,2689460,487,71.3,0.32,33,Rented crown,₹168–314,Homestrap,Nayasa,WonderStand
Storage Box / Organizer,Home Decor,27,94,21436480,12671330,699,58.6,1.78,32,Crowded shelf,₹899–1599,WonderStand,Birch & Co.,Senego by Trendy Home
Drinking Glass,Kitchen & Dining Needs,20,93,19965929,14147773,1120,63.3,1.66,31,Crowded shelf,₹199–1523,Borosil,Cello,Femora
Chopping Board,Kitchen & Dining Needs,14,22,7271394,3061702,485,64.7,0.61,30,Crowded shelf,₹199–399,Bulfyss,Rusabl,Vesta Homes
Microfiber/Cleaning Cloth,Cleaning Tools,6,8,2819462,1042533,364,62.7,0.23,30,Rented crown,₹293–395,Am Safe-X,Cutting Edge,Bunsak
Serving Tray,Kitchen & Dining Needs,37,109,26795972,14623801,947,71.4,2.23,29,Crowded shelf,₹88–566,Aravi,Birch & Co.,Cutting Edge
Sauce Pan / Appe Pan,Kitchen & Dining Needs,7,10,2886241,1466672,1080,45.9,0.24,29,Crowded shelf,₹783–1055,Solara,Wonderchef,The Indus Valley
Storage Bag / Pouch,Home Decor,10,25,6646624,3930108,356,45.3,0.55,29,Rented crown,₹335–576,Homestrap,Shalimar,Homez it
Cutlery (Spoon/Fork),Kitchen & Dining Needs,30,93,15035213,8377157,435,59.4,1.25,28,Crowded shelf,₹109–539,Parage,CutTales,Hazel
Duster,Cleaning Tools,5,6,4714347,2698730,348,79.5,0.39,28,Organic fortress,₹119–235,Gala,Creative Space,Zulaxy
Floor Cloth / Pocha,Cleaning Tools,3,3,6564004,5254775,131,88.4,0.55,28,Organic fortress,₹125–137,Gala,Bunsak,Scotch brite
Ladle / Skimmer,Kitchen & Dining Needs,8,13,2993839,1721026,420,52.0,0.25,27,Crowded shelf,₹264–397,Parage,Lifelong,Wonderchef
Colander / Strainer,Kitchen & Dining Needs,9,12,6984294,4547273,252,74.9,0.58,27,Organic fortress,₹143–244,Happy Kitchen,Fackelmann,Aravi
Jar / Canister,Kitchen & Dining Needs,13,36,5858575,3628290,860,48.0,0.49,27,Crowded shelf,₹215–612,Cutting Edge,Milton,Borosil
Shopping / Lunch Bag,Kitchen & Dining Needs,8,11,5315398,2488814,1063,74.7,0.44,27,Organic fortress,₹169–711,Navum,Nestasia,Rusabl
Cloth Rope / Line,Bathroom Essentials,3,6,7940713,1844831,74,75.8,0.66,27,Organic fortress,₹24–68,Aravi,fullhouz,Sakoraware
Laundry Basket,Bathroom Essentials,7,15,18966053,6222232,533,77.8,1.58,26,Organic fortress,₹164–391,PrettyKrafts,Homestrap,Royalkart
Reed Diffuser,Home Decor,10,30,14291879,8158105,559,82.7,1.19,26,Organic fortress,₹199–609,Mangalam,Auradecor,Soulflower
Showpiece / Figurine,Home Decor,15,98,10552285,3582717,736,42.1,0.88,26,Crowded shelf,₹199–519,Satyam Kraft,Tied Ribbons,Ecraftindia
Dustpan,Cleaning Tools,2,2,4340653,4340653,108,81.4,0.36,26,Organic fortress,₹90–97,Gala,Nayasa,
Casserole,Kitchen & Dining Needs,26,71,12933848,7180589,1225,61.3,1.08,25,Rented crown,₹307–749,Milton,Nayasa,Cello
Wall Clock,Home Decor,8,19,3088430,1859083,1441,54.2,0.26,25,Rented crown,₹235–787,Nautica,Teal By Chumbak,Random
Soap Dispenser,Bathroom Essentials,10,17,2979784,1761596,415,56.8,0.25,24,Crowded shelf,₹180–274,New Dawn,Homestrap,spasht
Scented Candle,Home Decor,20,115,24810266,11017877,471,78.4,2.06,23,Organic fortress,₹54–453,Auradecor,Bella Vita Organic,Ekam
Tea Light Candle,Home Decor,10,32,16436896,6718082,348,74.2,1.37,22,Organic fortress,₹121–497,Auradecor,Shubh kart,Prosperro lumo
Garden Hose / Nozzle,Home Improvement,4,4,3198946,2642022,255,61.7,0.27,21,Organic fortress,₹245–251,Prestige,Navum,Hazel
Table Linen / Mat,Kitchen & Dining Needs,24,50,3703515,1709639,485,60.6,0.31,19,Crowded shelf,₹377–635,GKD,Homestrap,Birch & Co.
Knife,Kitchen & Dining Needs,11,14,4237724,3573955,327,76.6,0.35,19,Organic fortress,₹49–247,Happy Kitchen,Fackelmann,Godrej Cartini
Table Cover / Cloth,Kitchen & Dining Needs,3,6,2154779,1113096,978,63.2,0.18,19,Organic fortress,₹1199–1399,Urban Space,alina,House of Quirk
Bathroom Set,Bathroom Essentials,2,2,3674984,2239550,1251,41.6,0.31,18,Organic fortress,₹699–920,Cello,Nayasa,
Jug,Kitchen & Dining Needs,17,23,2477689,2000974,671,48.4,0.21,18,Crowded shelf,₹493–817,Nayasa,Femora,Ocean
Ladder,Home Improvement,1,4,8207721,4039187,3831,29.7,0.68,17,Organic fortress,₹2590–3072,Bathla,,
Kitchen Scissors,Kitchen & Dining Needs,2,3,2437968,2065546,252,75.0,0.2,16,Organic fortress,₹159–199,Godrej Cartini,Nirosta,
TDS / Water Tester,Home Improvement,2,2,2253816,836922,204,65.5,0.19,16,Organic fortress,₹179–189,Desidiya,Themisto,
Health Faucet,Bathroom Essentials,4,8,1842208,956316,535,47.9,0.15,15,Organic fortress,₹459–669,Pesca,Water Science,Lorazzo
Ironing Board,Home Improvement,1,1,1335037,644546,3900,39.0,0.11,15,Organic fortress,₹3900–3900,Bathla,,
Bath Stool / Stool,Bathroom Essentials,3,3,1113906,899098,718,22.5,0.09,13,Organic fortress,₹349–540,Nayasa,Cello,Sammsara
Oil Dispenser,Kitchen & Dining Needs,8,8,1515230,732352,374,50.5,0.13,12,Crowded shelf,₹174–258,DeliBohemi,Cutting Edge,Nayasa
Candle / Diya Holder,Home Decor,10,25,16330916,4589533,618,77.6,1.36,12,Organic fortress,₹99–487,Auradecor,Tied Ribbons,pieces and accents
Toothbrush Holder,Bathroom Essentials,1,1,2631404,582480,199,38.0,0.22,12,Organic fortress,₹199–199,Zulaxy,,
Spatula / Turner,Kitchen & Dining Needs,9,11,1553787,929614,297,62.0,0.13,11,Crowded shelf,₹470–652,Agaro,Fackelmann,Wonderchef
Vase / Pot,Home Decor,5,12,1418653,784477,816,55.5,0.12,10,Crowded shelf,₹263–487,Birch & Co.,The Artment,Amaya Decors
Spice Box,Kitchen & Dining Needs,9,19,1502122,1045767,1790,55.0,0.13,10,Crowded shelf,₹169–735,Nayasa,ExclusiveLane,Peepul Tree
Wall Art / Print,Home Decor,8,31,1466307,553012,912,35.7,0.12,10,Organic fortress,₹132–1205,Tied Ribbons,linensutra,Daak Vaak
Teapot / Kettle,Kitchen & Dining Needs,4,8,1189013,454767,801,32.8,0.1,10,Organic fortress,₹667–839,Solara,Sipologie,Cutting Edge
Lint Roller,Cleaning Tools,2,2,768669,229832,324,49.0,0.06,9,Rented crown,₹299–309,Royalkart,House of Quirk,
Diya,Home Decor,13,83,4003387,2924108,186,78.2,0.33,9,Organic fortress,₹370–527,Shubh kart,Servdharm,Tied Ribbons
Adhesive / Sealant,Bathroom Essentials,2,4,2484641,2321569,106,83.7,0.21,8,Organic fortress,₹29–79,M-Seal,Mr Pen,
Glassware,Kitchen & Dining Needs,5,8,1250777,984737,500,62.5,0.1,8,Organic fortress,₹665–809,Borosil,Wonderchef,O'cean
Lunch Set,Kitchen & Dining Needs,3,6,850852,618168,1040,43.9,0.07,7,Rented crown,₹338–732,Cello,Oliveware,Glasafe
Candle,Home Decor,3,8,1623205,720361,304,79.0,0.14,7,Organic fortress,₹921–1127,Auradecor,Birch & Co.,Prosperro lumo
Cake Stand,Kitchen & Dining Needs,6,6,993520,507921,972,64.8,0.08,7,Organic fortress,₹811–1233,Vesta Homes,Chumbak,ReeQ
Sewing Kit,Home Improvement,2,2,1588239,991043,390,51.9,0.13,7,Organic fortress,₹455–499,Navum,Spartan,
Water Dispenser Pump,Home Improvement,2,2,876198,438041,544,29.2,0.07,6,Organic fortress,₹507–522,Konquer Times,Agaro,
Shoe Rack,Home Decor,4,7,682732,343125,1209,21.2,0.06,5,Organic fortress,₹499–899,Yellocut,Tied Ribbons,House of Quirk
Drinking Straw,Kitchen & Dining Needs,6,6,593805,276797,281,38.9,0.05,5,Crowded shelf,₹502–598,New Dawn,Bloomingdale,FunBlast
Idli / Steamer Maker,Kitchen & Dining Needs,4,4,586797,456735,1438,44.8,0.05,4,Organic fortress,₹1185–1333,Prestige,Avias,Vinod
Sealant / Gap Filler,Bathroom Essentials,1,1,855404,236925,249,34.0,0.07,4,Organic fortress,₹249–249,Zulaxy,,
Measuring Tape,Home Improvement,1,2,1514819,1123951,133,64.6,0.13,4,Organic fortress,₹49–83,freeman,,
Key Chain,Home Improvement,2,4,1109786,810238,293,78.5,0.09,4,Organic fortress,₹150–190,Wingz,FunBlast,
Washing Machine Accessory,Bathroom Essentials,2,2,539452,118369,686,34.5,0.04,3,Organic fortress,₹274–439,Zulaxy,WonderStand,
Mouse/Pest Control,Home Improvement,4,5,434284,321191,415,62.3,0.04,3,Rented crown,₹462–536,Homestrap,Aravi,shree delight
Sponge / Scrub,Bathroom Essentials,1,1,1271667,1248117,159,69.0,0.11,3,Organic fortress,₹159–159,Scotch brite,,
Drying Mat,Kitchen & Dining Needs,1,1,253424,139383,275,51.0,0.02,3,Rented crown,₹275–275,Cutting Edge,,
Bottle Opener,Kitchen & Dining Needs,2,3,490705,383894,139,73.7,0.04,2,Organic fortress,₹182–201,super mom by apex,fullhouz,
Medicine / First Aid Box,Home Decor,2,2,507714,384840,269,71.0,0.04,2,Organic fortress,₹281–289,Milton,Yellocut,
Gift Box / Hamper,Kitchen & Dining Needs,5,7,297519,178267,850,29.1,0.02,2,Organic fortress,₹1714–2109,Nautica,Birch & Co,Iris
Label / Sticker,Home Improvement,1,1,1386721,691971,249,84.0,0.12,2,Organic fortress,₹249–249,Navum,,
Plunger,Cleaning Tools,1,1,978088,978088,90,76.0,0.08,2,Organic fortress,₹90–90,Gala,,
Hand Blender / Mixer,Kitchen & Dining Needs,4,5,308514,264985,343,42.1,0.03,2,Organic fortress,₹119–281,Fackelmann,Yellocut,Vinayak
Cylinder Trolley,Kitchen & Dining Needs,4,5,406225,169307,248,48.6,0.03,2,Organic fortress,₹272–309,Tinums,Polyset,Kvg
Bathroom Accessory Set,Bathroom Essentials,2,5,207264,97767,991,36.2,0.02,1,Rented crown,₹654–843,ExclusiveLane,The Better Home,
Dish / Sink Brush,Cleaning Tools,1,1,981063,981063,180,85.0,0.08,1,Organic fortress,₹180–180,Gala,,
Ice Cream Scoop,Kitchen & Dining Needs,1,1,153433,68904,269,11.0,0.01,1,Organic fortress,₹269–269,Sakoraware,,
Tea Infuser,Kitchen & Dining Needs,1,2,465973,374444,230,76.2,0.04,1,Organic fortress,₹252–267,Fackelmann,,
Napkin Holder / Ring,Kitchen & Dining Needs,3,3,142861,94103,521,52.7,0.01,1,Organic fortress,₹548–712,Amaya Decors,Nayasa,ExclusiveLane
Faucet / Tap,Bathroom Essentials,4,6,101294,52255,677,21.6,0.01,1,Rented crown,₹579–739,Water Science,G.Fidel,JOHNSON
Screen / Lens Cleaner,Cleaning Tools,3,3,306447,305699,299,69.9,0.03,1,Organic fortress,₹469–549,Zeiss,Am Safe-X,Sounce
Salt & Pepper / Cruet,Kitchen & Dining Needs,3,4,113941,69692,382,42.4,0.01,1,Organic fortress,₹104–203,Nayasa,ExclusiveLane,The Better Home
Cutlery Holder / Caddy,Kitchen & Dining Needs,4,9,97010,71660,1077,30.9,0.01,1,Rented crown,₹793–1057,House of Quirk,brick brown,pieces and accents
Bottle / Wine Holder,Home Decor,1,1,74177,64401,1996,40.0,0.01,1,Rented crown,₹1996–1996,The Artment,,
Plate Stand / Rack,Kitchen & Dining Needs,1,1,173912,98434,849,55.0,0.01,1,Organic fortress,₹849–849,New Dawn,,
Butter / Serving Dish,Kitchen & Dining Needs,2,2,85612,60636,358,38.8,0.01,1,Organic fortress,₹375–386,Nayasa,Indigo,
Tong / Pakad,Kitchen & Dining Needs,3,3,195694,171670,163,67.2,0.02,1,Organic fortress,₹151–177,Happy Kitchen,Vinayak,Indigo
Toilet Roll Holder,Bathroom Essentials,4,6,118150,105241,456,54.3,0.01,0,Organic fortress,₹267–380,WonderStand,Picfest,pieces and accents
Cleaning Wipes,Cleaning Tools,6,7,115784,113676,231,70.4,0.01,0,Organic fortress,₹189–211,Zeiss,Svish on the go,Duzzit
Connection Pipe,Home Improvement,1,1,37819,23063,397,32.0,0.0,0,Organic fortress,₹397–397,Lifelong,,
Bread / Atta Maker,Kitchen & Dining Needs,1,1,49100,37011,7538,53.0,0.0,0,Organic fortress,₹7538–7538,Kent,,
Rice / Food Server,Kitchen & Dining Needs,1,1,22185,17718,119,53.0,0.0,0,Organic fortress,₹119–119,Vinayak,,
Photo Frame,Home Decor,3,4,12917,11668,550,25.8,0.0,0,Organic fortress,₹359–486,Archies,Chumbak,pieces and accents
Bathrobe,Bathroom Essentials,1,2,10050,5525,1099,8.0,0.0,0,Organic fortress,₹1099–1099,MYTRIDENT,,
Furniture Pads,Home Improvement,1,2,5364,2283,399,5.4,0.0,0,Organic fortress,₹299–339,Royalkart,,
Milk Boiler,Kitchen & Dining Needs,1,1,5236,3150,749,9.0,0.0,0,Organic fortress,₹749–749,Pigeon,,
Bangle / Vanity Box,Home Decor,1,2,4635,978,949,3.8,0.0,0,Organic fortress,₹949–949,Kuber Industries,,
Wall Mirror,Bathroom Essentials,2,2,3938,3535,2324,15.7,0.0,0,Organic fortress,₹2429–2499,Ocko,pieces and accents,
Key Holder,Home Improvement,1,3,1777,1338,490,1.0,0.0,0,Organic fortress,₹451–463,indianshelf,,
Trivet / Pot Holder,Kitchen & Dining Needs,1,1,1636,1181,649,1.0,0.0,0,Organic fortress,₹649–649,Kavi The Poetry-Art Project,,
Floor Drainer / Trap,Kitchen & Dining Needs,2,2,1365,1181,470,3.0,0.0,0,Organic fortress,₹470–470,Polyset,JOHNSON,
Coffee Maker,Kitchen & Dining Needs,1,1,1182,394,1199,3.0,0.0,0,Organic fortress,₹1199–1199,Ekhasa,,
